cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,orient,inst,mode,categ,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure,pure_subset,pure_visit,pure_config,pure_slot
1,01176311001,01176311001_10101,01176311001_10101_01,01176311001_0002,479,216.31844074671017,32.90268734110869,,NIRSpec,IFU,GTO,1,1,1,2,1,1,1,1,1
1,01176311001,01176311001_10101,01176311001_10101_02,01176311001_0003,479,216.31829330005985,32.902676424236304,,NIRSpec,IFU,GTO,1,1,1,3,2,1,1,1,2
1,01176311001,01176311001_10101,01176311001_10101_03,01176311001_0004,479,216.31840124757198,32.90263790057752,,NIRSpec,IFU,GTO,1,1,1,4,3,1,1,1,3
1,01176311001,01176311001_10102,01176311001_10102_01,01176311001_0006,479,216.31844074671017,32.90268734110869,,NIRSpec,IFU,GTO,1,1,2,6,1,1,1,2,1
1,01176311001,01176311001_10102,01176311001_10102_02,01176311001_0007,479,216.31829330005985,32.902676424236304,,NIRSpec,IFU,GTO,1,1,2,7,2,1,1,2,2
1,01176311001,01176311001_10102,01176311001_10102_03,01176311001_0008,479,216.31840124757198,32.90263790057752,,NIRSpec,IFU,GTO,1,1,2,8,3,1,1,2,3
1,01176311001,01176311001_10103,01176311001_10103_01,01176311001_0010,479,216.31844074671017,32.90268734110869,,NIRSpec,IFU,GTO,1,1,3,10,1,1,1,3,1
1,01176311001,01176311001_10103,01176311001_10103_02,01176311001_0011,479,216.31829330005985,32.902676424236304,,NIRSpec,IFU,GTO,1,1,3,11,2,1,1,3,2
1,01176311001,01176311001_10103,01176311001_10103_03,01176311001_0012,479,216.31840124757198,32.90263790057752,,NIRSpec,IFU,GTO,1,1,3,12,3,1,1,3,3
1,01176321001,01176321001_10101,01176321001_10101_01,01176321001_0002,567,1.4681474803124552,-0.11576821442440634,,NIRSpec,IFU,GTO,1,1,1,2,1,3,1,1,1
